Symbol,Market
ZW,WHEAT - CHICAGO BOARD OF TRADE
YW,WHEAT - CHICAGO BOARD OF TRADE
ZC,CORN - CHICAGO BOARD OF TRADE
YC,CORN - CHICAGO BOARD OF TRADE
ZO,OATS - CHICAGO BOARD OF TRADE
ZS,SOYBEANS - CHICAGO BOARD OF TRADE
YK,MINI SOYBEANS - CHICAGO BOARD OF TRADE
ZL,SOYBEAN OIL - CHICAGO BOARD OF TRADE
NG,NATURAL GAS - NEW YORK MERCANTILE EXCHANGE
QG,NATURAL GAS - NEW YORK MERCANTILE EXCHANGE
ZE,CBT ETHANOL - CHICAGO BOARD OF TRADE
ZM,SOYBEAN MEAL - CHICAGO BOARD OF TRADE
CT,COTTON NO. 2 - ICE FUTURES U.S.
ZR,ROUGH RICE - CHICAGO BOARD OF TRADE
OJ,FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.
DC,MILK, Class III - CHICAGO MERCANTILE EXCHANGE
HE,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE
LE,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE
LB,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE
GF,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE
BRN,CRUDE OIL, LIGHT SWEET - ICE FUTURES EUROPE
CC,COCOA - ICE FUTURES U.S.
PA,PALLADIUM - NEW YORK MERCANTILE EXCHANGE
PL,PLATINUM - NEW YORK MERCANTILE EXCHANGE
SB,SUGAR NO. 11 - ICE FUTURES U.S.
KC,COFFEE C - ICE FUTURES U.S.
SI,SILVER - COMMODITY EXCHANGE INC.
QI,SILVER - COMMODITY EXCHANGE INC.
YI,SILVER - COMMODITY EXCHANGE INC.
HG,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.
QC,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.
GC,GOLD - COMMODITY EXCHANGE INC.
YG,GOLD - COMMODITY EXCHANGE INC.
QO,GOLD - COMMODITY EXCHANGE INC.
MGC,GOLD - COMMODITY EXCHANGE INC.
6C,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE
MCD,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE
6S,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE
MSF,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE
6B,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE
M6B,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE
6J,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE
J7,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE
M6B,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE
6E,EURO FX - CHICAGO MERCANTILE EXCHANGE
E7,EURO FX - CHICAGO MERCANTILE EXCHANGE
M6E,EURO FX - CHICAGO MERCANTILE EXCHANGE
6A,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE
M6A,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE
6R,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE
6M,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE
6L,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE
6N,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE
DJ,DOW JONES INDUSTRIAL AVERAGE - CHICAGO BOARD OF TRADE
DD,DOW JONES INDUSTRIAL AVERAGE - CHICAGO BOARD OF TRADE
YM,DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE
SP,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE
ES,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE
EMD,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE
NDX,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE
NQ,NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE
TF,RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.
NKD,NIKKEI STOCK AVERAGE - CHICAGO MERCANTILE EXCHANGE
NKY,NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE
ZB,U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE
ZT,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE
ZN,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE
ZF,5-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE
ZQ,30-DAY FEDERAL FUNDS - CHICAGO BOARD OF TRADE
GE,3-MONTH EURODOLLARS - CHICAGO MERCANTILE EXCHANGE
SR,INTEREST RATE SWAPS 10YR - CHICAGO BOARD OF TRADE
SA,INTEREST RATE SWAPS 5YR - CHICAGO BOARD OF TRADE
DX,U.S. DOLLAR INDEX - ICE FUTURES U.S.
VXB,VIX FUTURES - CBOE FUTURES EXCHANGE
AW,DOW JONES UBS EXCESS RETURN - CHICAGO BOARD OF TRADE
GD,S&P GSCI COMMODITY INDEX - CHICAGO MERCANTILE EXCHANGE
UB,LONG-TERM U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE
